label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2025 Girls Sectional 1,MileSplit,IHSAA Girls Sectional 1 - Highland,https://in.milesplit.com/meets/692260-ihsaa-girls-sectional-1-highland-2025/results,https://in.milesplit.com/meets/692260-ihsaa-girls-sectional-1-highland-2025/results/1178816?type=raw,1,A,210,189,21,ok,
2025 Girls Sectional 2,MileSplit,IHSAA Girls Sectional 2 - Hobart,https://in.milesplit.com/meets/692262-ihsaa-girls-sectional-2-hobart-2025/results,https://in.milesplit.com/meets/692262-ihsaa-girls-sectional-2-hobart-2025/results/1178820?type=raw,1,A,281,256,25,ok,
2025 Girls Sectional 3,MileSplit,IHSAA Girls  Sectional 3 - Chesterton,https://in.milesplit.com/meets/692264-ihsaa-girls-track-and-field-sectional-3-chesterton-2025/results,https://in.milesplit.com/meets/692264-ihsaa-girls-track-and-field-sectional-3-chesterton-2025/results/1178821?type=raw,1,A,246,220,26,ok,
2025 Girls Sectional 4,MileSplit,IHSAA Girls Sectional 4 - Kankakee Valley,https://in.milesplit.com/meets/692281-ihsaa-girls-sectional-4-kankakee-valley-2025/results,https://in.milesplit.com/meets/692281-ihsaa-girls-sectional-4-kankakee-valley-2025/results/1179383?type=raw,1,A,340,311,29,ok,
2025 Girls Sectional 5,MileSplit,IHSAA Girls Sectional 5 - Mishawaka,https://in.milesplit.com/meets/692271-ihsaa-girls-sectional-5-mishawaka-2025/results,https://in.milesplit.com/meets/692271-ihsaa-girls-sectional-5-mishawaka-2025/results/1178825?type=raw,1,A,258,238,20,ok,
2025 Girls Sectional 6,MileSplit,IHSAA Girls Sectional 6 - Bremen,https://in.milesplit.com/meets/692270-ihsaa-girls-sectional-6-bremen-2025/results,https://in.milesplit.com/meets/692270-ihsaa-girls-sectional-6-bremen-2025/results/1178824?type=raw,1,A,263,236,27,ok,
2025 Girls Sectional 7,MileSplit,IHSAA Girls  Sectional 7 - Warsaw,https://in.milesplit.com/meets/692253-ihsaa-girls-track-and-field-sectional-7-warsaw-2025/results,https://in.milesplit.com/meets/692253-ihsaa-girls-track-and-field-sectional-7-warsaw-2025/results/1178814?type=raw,1,A,270,245,25,ok,
2025 Girls Sectional 8,MileSplit,IHSAA Girls  Sectional 8 - Angola,https://in.milesplit.com/meets/691468-ihsaa-girls-track-and-field-sectional-8-angola-2025/results,https://in.milesplit.com/meets/691468-ihsaa-girls-track-and-field-sectional-8-angola-2025/results/1179388?type=raw,1,A,330,296,34,ok,
2025 Girls Sectional 9,MileSplit,IHSAA Girls  Sectional 9 - FW Northrop,https://in.milesplit.com/meets/692269-ihsaa-girls-track-and-field-sectional-9-fw-northrop-2025/results,https://in.milesplit.com/meets/692269-ihsaa-girls-track-and-field-sectional-9-fw-northrop-2025/results/1178823?type=raw,1,A,273,246,27,ok,
2025 Girls Sectional 10,MileSplit,IHSAA Girls  Sectional 10 - New Haven,https://in.milesplit.com/meets/675923-ihsaa-girls-track-and-field-sectional-10-new-haven-2025/results,https://in.milesplit.com/meets/675923-ihsaa-girls-track-and-field-sectional-10-new-haven-2025/results/1178790?type=raw,1,B,171,142,29,ok,
2025 Girls Sectional 11,MileSplit,,,,0,,0,0,0,meet_not_found,No matching meet link in monthly results index
2025 Girls Sectional 12,MileSplit,IHSAA Girls Sectional 12 - Delta,https://in.milesplit.com/meets/691470-ihsaa-girls-sectional-12-delta-2025/results,https://in.milesplit.com/meets/691470-ihsaa-girls-sectional-12-delta-2025/results/1178784?type=raw,1,B,295,268,27,ok,
2025 Girls Sectional 13,MileSplit,IHSAA Girls Sectional 13 - Kokomo,https://in.milesplit.com/meets/691973-ihsaa-girls-sectional-13-kokomo-2025/results,https://in.milesplit.com/meets/691973-ihsaa-girls-sectional-13-kokomo-2025/results/1178782?type=raw,1,B,235,207,28,ok,
2025 Girls Sectional 14,MileSplit,IHSAA Girls Sectional 14 - Harrison (West Lafayette),https://in.milesplit.com/meets/691433-ihsaa-girls-sectional-14-harrison-west-lafayette-2025/results,https://in.milesplit.com/meets/691433-ihsaa-girls-sectional-14-harrison-west-lafayette-2025/results/1178914/raw,0,C,265,238,27,ok,
2025 Girls Sectional 15,MileSplit,IHSAA Girls Sectional 15 - Lafayette Jefferson,https://in.milesplit.com/meets/691620-ihsaa-girls-sectional-15-lafayette-jefferson-2025/results,https://in.milesplit.com/meets/691620-ihsaa-girls-sectional-15-lafayette-jefferson-2025/results/1179385?type=raw,1,A,271,247,24,ok,
2025 Girls Sectional 16,MileSplit,IHSAA Girls Sectional 16 - Hamilton Southeastern,https://in.milesplit.com/meets/692272-ihsaa-girls-sectional-16-hamilton-southeastern-2025/results,https://in.milesplit.com/meets/692272-ihsaa-girls-sectional-16-hamilton-southeastern-2025/results/1178826?type=raw,1,A,264,238,26,ok,
2025 Girls Sectional 17,MileSplit,IHSAA Girls  Sectional 17 - Terre Haute North Vigo,https://in.milesplit.com/meets/692282-ihsaa-girls-track-and-field-sectional-17-terre-haute-north-vigo-2025/results,https://in.milesplit.com/meets/692282-ihsaa-girls-track-and-field-sectional-17-terre-haute-north-vigo-2025/results/1179389?type=raw,1,A,288,263,25,ok,
