label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2026 Boys Sectional 1,IHSAA,"1. Munster (12) 5 pm CT Tickets | Results Schools: 21st Century, Bowman Leadership Academy, Calumet, East Chicago Central, Gary West Side, Griffith, Hammond Bishop Noll, Hammond Central, Hammond Morton, Highland, Lighthouse CPC, Munster",https://in.milesplit.com/meets/735020/results,https://in.milesplit.com/meets/735020/results/1306119,1,formatted_api,236,216,20,ok,
2026 Boys Sectional 2,IHSAA,"2. Crown Point (11) 5 pm CT Tickets | Results Schools: Andrean, Crown Point, Hanover Central, Hobart, Illiana Christian, Lake Central, Lake Station Edison, Lowell, Merrillville, River Forest, Wheeler",https://in.milesplit.com/meets/735019/results,https://in.milesplit.com/meets/735019/results/1306132,1,formatted_api,276,249,27,ok,
2026 Boys Sectional 3,IHSAA,"3. Portage (10) 5 pm CT Tickets | Results Schools: Chesterton, LaPorte, Marquette Catholic, Michigan City, New Prairie, Portage, South Central (Union Mills), Valparaiso, Washington Township, Westville",https://in.milesplit.com/meets/735018/results,https://in.milesplit.com/meets/735018/results/1306103,1,formatted_api,242,220,22,ok,
2026 Boys Sectional 4,IHSAA,"4. Kankakee Valley (14) 5 pm CT Tickets | Results Schools: Boone Grove, DeMotte Christian, Hebron, Kankakee Valley, Knox, Kouts, Morgan Township, North Judson-San Pierre, North Newton, Rensselaer Central, South Newton, Tri-Township, West Central, Winamac Community",https://in.milesplit.com/meets/735017/results,https://in.milesplit.com/meets/735017/results/1306147,1,formatted_api,373,335,38,ok,
2026 Boys Sectional 5,IHSAA,"5. Penn (11) 5:30 pm ET Tickets | Results Schools: Career Academy, Glenn, LaVille, Mishawaka, Mishawaka Marian, Penn, South Bend Adams, South Bend Riley, South Bend Saint Joseph, South Bend Washington, Trinity Academy at Greenlawn\",https://in.milesplit.com/meets/735016/results,https://in.milesplit.com/meets/735016/results/1306106,1,formatted_api,265,244,21,ok,
2026 Boys Sectional 6,IHSAA,"6. Plymouth (13) 5:30 pm ET Tickets | Results Schools: Argos, Bremen, Caston, Culver Academies, Culver Community, Manchester, North Miami, NorthWood, Plymouth, Rochester Community, Tippecanoe Valley, Triton, Whitko",https://in.milesplit.com/meets/735015/results,https://in.milesplit.com/meets/735015/results/1306070,1,formatted_api,295,269,26,ok,
2026 Boys Sectional 7,IHSAA,"7. Goshen (11) 5:30 pm ET Tickets | Results Schools: Bethany Christian, Concord, Elkhart, Elkhart Christian Academy, Fairfield, Goshen, Jimtown, Lakeland Christian Academy, Northridge, Warsaw Community, Wawasee",https://in.milesplit.com/meets/735014/results,https://in.milesplit.com/meets/735014/results/1306116,1,formatted_api,282,260,22,ok,
2026 Boys Sectional 8,IHSAA,"8. East Noble (14) 5 pm ET Tickets | Results Schools: Angola, Central Noble, Churubusco, DeKalb, East Noble, Eastside, Fremont, Garrett, Hamilton, Lakeland, Lakewood Park Christian, Prairie Heights, West Noble, Westview",https://in.milesplit.com/meets/735013/results,https://in.milesplit.com/meets/735013/results/1306094,1,formatted_api,379,346,33,ok,
2026 Boys Sectional 9,IHSAA,"9. Fort Wayne North Side (10) 5:45 pm ET Tickets | Results Schools: Carroll (Fort Wayne), Columbia City, Fort Wayne Bishop Dwenger, Fort Wayne  Blackhawk Christian, Fort Wayne Concordia Lutheran, Fort Wayne North Side, Fort Wayne Northrop, Fort Wayne Snider, Leo, Woodlan",https://in.milesplit.com/meets/735012/results,https://in.milesplit.com/meets/735012/results/1306087,1,formatted_api,270,243,27,ok,
2026 Boys Sectional 10,IHSAA,"10. New Haven (13) 5:30 pm ET Tickets | Results Schools: Adams Central, Bellmont, Fort Wayne Bishop Luers, Fort Wayne Canterbury, Fort Wayne  South Side, Fort Wayne Wayne, Heritage, Homestead, Huntington North, New Haven, Norwell, Smith Academy, South Adams",https://in.milesplit.com/meets/735010/results,https://in.milesplit.com/meets/735010/results/1306080,1,formatted_api,300,270,30,ok,
