label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2026 Girls Sectional 1,IHSAA,"1. Highland (12) 5 pm CT Tickets | Results Schools: 21st Century, Bowman Leadership Academy, Calumet, East Chicago Central, Gary West Side, Griffith, Hammond, Hammond Bishop Noll, Hammond Central, Hammond Morton, Highland, Lighthouse CPC, Munster",https://in.milesplit.com/meets/735079/results,https://in.milesplit.com/meets/735079-ihsaa-sectional-1-girls-2026/results/1305393/raw,0,formatted_api,208,186,22,ok,formatted_api fallback: 208 rows
2026 Girls Sectional 2,IHSAA,"2. Hobart (11) 5 pm CT Tickets | Results Schools: Andrean, Crown Point, Hanover Central, Hobart, Illiana Christian, Lake Central, Lake Station Edison, Lowell, Merrillville, River Forest, Wheeler",https://in.milesplit.com/meets/735080/results,https://in.milesplit.com/meets/735080-ihsaa-sectional-2-girls-2026/results/1305419?type=raw,1,formatted_api,293,265,28,ok,formatted_api fallback: 293 rows
2026 Girls Sectional 3,IHSAA,"3. Chesterton (10) 4:45 pm CT Tickets | Results Schools: Chesterton, LaPorte, Marquette Catholic, Michigan City, New Prairie, Portage, South Central (Union Mills), Valparaiso, Washington Township, Westville",https://in.milesplit.com/meets/735081/results,https://in.milesplit.com/meets/735081-ihsaa-sectional-3-girls-2026/results/1305405/raw,0,formatted_api,229,207,22,ok,formatted_api fallback: 229 rows
2026 Girls Sectional 4,IHSAA,"4. Kankakee Valley (14) 4:45 pm CT Tickets | Results Schools: Boone Grove, DeMotte Christian, Hebron, Kankakee Valley, Knox, Kouts, Morgan Township, North Judson-San Pierre, North Newton, Oregon-Davis, Rensselaer Central, South Newton, West Central, Winamac Community",https://in.milesplit.com/meets/735082/results,https://in.milesplit.com/meets/735082-ihsaa-sectional-4-girls-2026/results/1305446/raw,0,formatted_api,338,305,33,ok,formatted_api fallback: 338 rows
2026 Girls Sectional 5,IHSAA,"5. Mishawaka (11) 5 pm ET Tickets | Results Schools: Career Academy, Glenn, LaVille, Mishawaka, Mishawaka Marian, Penn, South Bend Adams, South Bend Riley, South Bend Saint Joseph, South Bend Washington, Trinity Academy at Greenlawn",https://in.milesplit.com/meets/735083/results,https://in.milesplit.com/meets/735083-ihsaa-sectional-5-girls-2026/results/1305581/raw,0,formatted_api,227,210,17,ok,formatted_api fallback: 227 rows
2026 Girls Sectional 6,IHSAA,"6. Bremen (13) 5:30 pm ET Tickets | Results Schools: Argos, Bremen, Caston, Culver Academies, Culver Community, Manchester, North Miami, NorthWood, Plymouth, Rochester Community, Tippecanoe Valley, Triton, Whitko",https://in.milesplit.com/meets/735084/results,https://in.milesplit.com/meets/735084-ihsaa-sectional-6-girls-2026/results/1305532?type=raw,1,formatted_api,320,285,35,ok,formatted_api fallback: 320 rows
2026 Girls Sectional 7,IHSAA,"7. Warsaw Community (11) 5:30 pm ET Tickets | Results Schools: Bethany Christian, Concord, Elkhart, Elkhart Christian Academy, Fairfield, Goshen, Jimtown, Lakeland Christian Academy, Northridge, Warsaw Community, Wawasee",https://in.milesplit.com/meets/735085/results,https://in.milesplit.com/meets/735085-ihsaa-sectional-7-girls-2026/results/1305396/raw,0,formatted_api,279,256,23,ok,formatted_api fallback: 279 rows
2026 Girls Sectional 8,IHSAA,"8. East Noble (14) 5 pm ET Tickets | Results Schools: Angola, Central Noble, Churubusco, DeKalb, East Noble, Eastside, Fremont, Garrett, Hamilton, Lakeland, Lakewood Park Christian, Prairie Heights, West Noble, Westview",https://in.milesplit.com/meets/735086/results,https://in.milesplit.com/meets/735086-ihsaa-sectional-8-girls-2026/results/1305410?type=raw,1,formatted_api,355,324,31,ok,formatted_api fallback: 355 rows
2026 Girls Sectional 9,IHSAA,"9. Fort Wayne Northrop (10) 5:45 pm ET Tickets | Results Schools: Carroll (Fort Wayne), Columbia City, Fort Wayne Bishop Dwenger, Fort Wayne Blackhawk Christian, Fort Wayne Concordia Lutheran, Fort Wayne North Side, Fort Wayne Northrop, Fort Wayne Snider, Leo, Woodlan",https://in.milesplit.com/meets/735087/results,https://in.milesplit.com/meets/735087-ihsaa-sectional-9-girls-2026/results/1305399?type=raw,1,formatted_api,274,246,28,ok,formatted_api fallback: 274 rows
2026 Girls Sectional 10,IHSAA,"10. New Haven (12) 5:30 pm ET Tickets | Results Schools: Adams Central, Bellmont, Fort Wayne Bishop Luers, Fort Wayne Canterbury, Fort Wayne South Side, Fort Wayne Wayne, Heritage, Homestead, Huntington North, New Haven, Norwell, South Adams",https://in.milesplit.com/meets/735088/results,https://in.milesplit.com/meets/735088-ihsaa-sectional-10-girls-2026/results/1305406?type=raw,1,formatted_api,291,260,31,ok,formatted_api fallback: 291 rows
2026 Girls Sectional 11,IHSAA,"11. Marion (13) 5:30 pm ET Tickets | Results Schools: Blackford, Bluffton, Eastbrook, Elwood Community, Frankton, Madison-Grant, Marion, Mississinewa, Northfield, Oak Hill, Southern Wells, Southwood, Wabash",https://in.milesplit.com/meets/735089/results,https://in.milesplit.com/meets/735089-ihsaa-sectional-11-girls-2026/results/1305443/raw,0,formatted_api,312,282,30,ok,formatted_api fallback: 312 rows
2026 Girls Sectional 12,IHSAA,"12. Delta (14) 5 pm ET Tickets | Results Schools: Alexandria Monroe, Cowan, Delta, Jay County, Monroe Central, Muncie Burris, Muncie Central, Randolph Southern, Union (Modoc), Union City, Wapahani, Wes-Del, Winchester Community, Yorktown",https://in.milesplit.com/meets/735090/results,https://in.milesplit.com/meets/735090-ihsaa-sectional-12-girls-2026/results/1305580/raw,0,formatted_api,306,274,32,ok,formatted_api fallback: 306 rows
