"SchoolId","SchoolName","SchoolNumber","Enrollment","School Type","ConferencePrim","MainPhone","AthFax","Colors","Nickname","Website","Address1","Address2","City","State","ZipCode","IHSAADistrict","IIAAADistrict","SchoolTwitterId","AthleticDepartmentTwitterId"
"ddb3e2fb-608e-49f3-850f-896214907d11","21st Century Academy","424","406","Charter","Independent","219-806-4200","219-880-1771","Red & Black","Cougars","https://21ccougars.org/","1440 E 35th Ave","","Gary","IN","46409","1","1","",""
"e4925c39-497f-40eb-b95f-c983d2508ef8","Adams Central","1","421","Public","Allen County","260-692-6105","260-692-6192","Red & White","Flying Jets","http://adamscentralathletics.com","222 W. Washington St.","","Monroe","IN","46772","1","2","@AdamsCentral","@ACJetsAthletics"
"88f780a8-bd8d-4b43-91dd-8b4aa0ddd4fa","Alexandria Monroe","2","418","Public","Conference Indiana","765-724-4413","765-724-8008","Cardinal & Gold","Tigers","http://alexandriacsc.alex.k12.in.us/","1 Burden Ct.","","Alexandria","IN","46001","2","4","","amhsathletics"
"66b44bdd-8e3b-4a2f-9861-09e7762720ea","Anderson","3","1928","Public","North Central","765-641-2043","765-641-2043","Red & Green","Indians","https://ahs.acsc.net/","4610 S. Madison Ave.","","Anderson","IN","46013","2","4","","ahsindians"
"651932f0-5a3c-4e0b-94ec-064b1699be68","Anderson Preparatory Academy","431","268","Charter","Pioneer","765-649-8472","765-640-2550","Royal Blue and Silver","Jets","http://www.goapa.org/","101 W. 29th St.","","Anderson","IN","46016","2","4","","@apajetnation"
"39234102-4c6c-4ef2-b0d4-969541520177","Andrean","6","484","Private","Northwest Crossroads","219-887-5959","219-981-5071","Red & Gold","59ers","https://andreanathletics.com/","5959 Broadway","","Merrillville","IN","46410","1","1","@AndreanHigh","@andrean59ers"
"abb1cb09-b600-43ac-87a6-8f17b162af1c","Angola","7","710","Public","Northeast Corner","260-665-3780","260-665-7012","Purple & Gold","Hornets","http://www.angolahornets.com","350 S. John McBride Ave.","","Angola","IN","46703","1","2","","@SteveLantz1"
"86e33020-09d4-4937-a323-d3b13a3ce06f","Argos","8","177","Public","Hoosier North","574-892-5137","574-892-6527","Black & Old Gold","Dragons","http://www.argos.k12.in.us","500 Yearick Ave.","","Argos","IN","46501","1","2","","@Argos_Athletics"
"fda6f7fa-02f5-4e77-8185-21eef60d6093","Attica","9","172","Public","Wabash River","765-762-7000","765-762-7017","Red & White","Red Ramblers","http://www.attica.k12.in.us","211 E. Sycamore St.","","Attica","IN","47918","2","3","@AtticaSchools","@Red_Ramblers"
"837a758c-34cb-49b2-ae2a-f289f8dac6dc","Austin","10","400","Public","Mid-Southern","812-794-8730","812-794-8739","Black & White","Eagles","http://hs.scsd1.com","401 US-31","","Austin","IN","47102","3","5","",""
