Good,Bad
302658,292349
302877,292818
303570,294230
303577,294257
302003,294808
302721,294962
304735,296589
308064,297606
305938,298874
308388,300822
311349,302122
312149,303374
298231,307081
303305,312815
303304,312816
303392,312817
303228,312818
303318,312819
303391,312820
303229,312821
303233,312822
303324,312823
303325,312824
303327,312825
303326,312826
303415,312827
303416,312828
303478,312829
303417,312830
303344,312831
303345,312832
303381,312833
303491,312834
303384,312835
303264,312836
303435,312837
303494,312839
303363,312840
303469,312842
303498,312843
303462,312857
303361,312858
303360,312860
303307,312861
303298,312862
303464,312863
303220,312864
303402,312865
303437,312866
303319,312867
303321,312868
303993,312869
303994,312870
303406,312872
303473,312873
304005,312874
303489,312875
303337,312876
303346,312877
304018,312878
303420,312879
303995,312880
303254,312881
303243,312882
303431,312883
303407,312884
303481,312885
