label,source,anchor_text,meet_url,raw_url,raw_option_found,parser_format,parsed_rows,athlete_rows_inserted,relay_rows_inserted,status,note
2026 Girls Sectional 1,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3225)
2026 Girls Sectional 2,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3226)
2026 Girls Sectional 3,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3227)
2026 Girls Sectional 4,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3228)
2026 Girls Sectional 5,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3229)
2026 Girls Sectional 6,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3230)
2026 Girls Sectional 7,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3231)
2026 Girls Sectional 8,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3232)
2026 Girls Sectional 9,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3233)
2026 Girls Sectional 10,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3234)
2026 Girls Sectional 11,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3235)
2026 Girls Sectional 12,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3236)
2026 Girls Sectional 13,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3237)
2026 Girls Sectional 14,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3238)
2026 Girls Sectional 15,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3239)
2026 Girls Sectional 16,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3240)
2026 Girls Sectional 17,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3241)
2026 Girls Sectional 18,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3242)
2026 Girls Sectional 19,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3243)
2026 Girls Sectional 20,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3244)
2026 Girls Sectional 21,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3245)
2026 Girls Sectional 22,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3246)
2026 Girls Sectional 23,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3247)
2026 Girls Sectional 24,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3248)
2026 Girls Sectional 25,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3249)
2026 Girls Sectional 26,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3250)
2026 Girls Sectional 27,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3251)
2026 Girls Sectional 28,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3252)
2026 Girls Sectional 29,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3253)
2026 Girls Sectional 30,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3254)
2026 Girls Sectional 31,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3255)
2026 Girls Sectional 32,,,,,0,,0,0,0,meet_exists_skipped,Meet already exists in meet table (meet_id=3256)
